"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21.4407693636742","-21.2001988816138","-23.7829271009906","-22.3625644483541","-22.6927482563634","-23.3590710344726","-23.1678196045448","-25.0619245204167","-26.1180943626659","-27.8192433585404","-36.0068077390275","-36.6439410966545","-43.3554638687428","-38.5168322687859","-37.8772386107313","-46.0776653717923","-48.6127651528268","-51.481341557416","-48.5908188685954","-41.8729717003226","-47.6306550618306","-34.4587420521863","-30.6939357165572","-30.9381740811701","-26.7678529638023","-29.0932128746545","-26.5308116082362","-26.2180905463239","-24.1880344780285","-20.2538516134308","-21.1770497566243","-15.6231822077422","-15.1947949493802","22.5559165278294","",
"Afghanistan","AFG","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-214.692301242534","-213.492318197012","-208.788659466961","-211.304170000572","-229.26109809653","-231.159581180119","-237.123343039322","-246.177963275427","-226.824558718708","-217.230091254068","-226.602650202688","-226.293824804376","-194.638178890744","-213.322416230615","-232.209498707588","-214.805959763554","-216.803408888279","-210.330197327463","-190.53180139221","-190.499830357127","-174.229230520199","-160.360116638306","-161.080126658059","-136.885091141494","-135.52155747166","-144.428389776344","-114.575324375496","-122.080649437011","-128.012127197655","-114.97798412685","-93.7072976717297","-71.2969748944734","-60.8465886513954","","",
"Angola","AGO","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-381.650057843355","-392.000951418208","-432.818869203901","-378.007521659027","-402.654159422304","-461.618011541008","-493.928830200954","-515.620218291251","-547.756096667216","-522.047014726321","-546.644969089562","-487.014261851045","-575.454279908967","-520.181044616697","-590.353277770867","-812.883915448714","-818.589834028409","-905.051352241387","-910.835918394143","-775.821353502783","-745.524556600854","-646.021743098799","-604.183229225818","-608.406709679259","-637.730286963911","-568.890997777471","-599.543341860681","-564.384879106892","-558.350771386648","-488.932842686293","-474.846560770552","-373.796632306382","-353.971819384273","","",
"Albania","ALB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.42060024481556","-3.48489877198802","-3.3818124263581","0.168709729525998","3.53467184072888","6.63672296083366","6.29282335314224","8.69942595624635","16.2859749226394","42.023755625982","46.5181540098418","53.1827729721972","54.0254111851842","51.5567710161061","48.3698345059957","50.5736000967914","41.2400076668958","49.3498671390608","50.0620058023779","46.4105898436196","28.9622144211035","35.8947695672217","15.7172869864158","25.2004229154476","28.9119530198608","12.696461784444","20.2723546315076","38.8336005323813","21.2694877505569","32.2318027280548","36.4699774665314","24.1177519322935","32.276396797251","","",
"Andorra","AND","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-348.333756113557","-325.337129553647","-315.661807893729","-309.187370733093","-295.837547246484","-294.534344338625","-281.267872236233","-286.647021114227","-301.089499846638","-281.038666012535","-287.096316360873","-255.840690660292","-228.636925491539","-236.281721695946","-255.748959103389","-231.852307982609","-216.736345655801","-202.636453892051","-196.292845743707","-180.178448496933","-177.255132368831","-181.507226366315","-184.982223811802","-174.149075179052","-157.46363693439","-158.688222538078","-166.709839520834","-155.761471186741","-161.58000274827","-158.313720421706","-149.302631545499","-145.156494225722","-150.383121563667","","",
"United Arab Emirates","ARE","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-395.234441353052","-388.984905180095","-443.586524869712","-404.286902312264","-360.281269272563","-345.73716373923","-332.871492672718","-333.104694343529","-333.759358418335","-307.241398020093","-362.474926037534","-237.173477911049","-227.237770609243","-262.635909408767","-282.902083582046","-271.877260330466","-275.297889831981","-239.143526278874","-189.037429177801","-151.936703989788","-174.858852041957","-203.925954383789","-204.392627312405","-197.723542414887","-153.250707324208","-144.956335243698","-138.130060398239","-163.562735811068","-159.725700134966","-157.251588097578","-166.676304495143","-148.779300357276","-171.482371329992","","",
"Argentina","ARG","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.07125931233328","-3.85454669970489","-7.14233902775412","-10.7834828903575","-16.9971014910933","-23.3421763847599","-28.3069738731835","-31.2732882130168","-30.1989008874261","-30.4114820386741","-33.8428334748467","-44.4658027559469","-44.6310234240684","-40.3077373251896","-28.0318418904938","-24.0369585420304","-18.716216878307","-8.75840895532529","-6.2618363216528","-7.65587146065983","-2.40216761508806","7.23741684026606","8.11439908863806","13.9862181852131","14.0678103429199","13.5477809878759","11.9993689573056","13.2189146873857","8.60875532272658","2.49167707965442","1.24327307492309","5.97385287406835","1.97147207047313","","",
"Armenia","ARM","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.655901252316","","97.0396924055389","","","","","71.485742871436","71.6450052894058","65.3080630454606","71.191142301674","72.5653390486394","62.9847896646093","65.8698587202855","65.6861739120524","67.2370359807973","68.0247916141616","72.8092351995716","75.1401155903935","69.2562497712381","69.6401092559821","69.0180110458366","74.3403810595709","73.6822602294154","71.6592288400781","67.6293163476974","68.2448098805489","68.960568280661","72.731773920089","74.1707853018448","74.1472665445986","78.9045161126683","76.8721086405015","","",
"American Samoa","ASM","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-74.9034161284875","-93.6375844274199","-95.9151831093466","-92.3660251504525","-91.3742846110136","-96.4516273110149","-91.0909229140998","-100.727503230138","-107.390214825386","-103.454366779273","-117.602689924911","-126.513619589279","-130.62417241528","-125.288697474724","-125.872031210017","-131.07466643319","-123.806910241922","-127.764290888944","-123.534610231999","-128.476617177707","-146.708346775748","-141.942926034157","-149.195380388504","-164.691774053304","-185.555789490717","-197.386842232292","-206.230251314561","-205.706925698633","-211.937722342575","-226.593268913591","-232.949923424868","-227.942246290955","-236.757245570621","-208.482901035791","",
"Austria","AUT","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7924666687147","67.8965365498239","69.7960482231647","67.025530919915","66.4479639903503","67.688587663205","70.8557760884195","68.7832916598429","71.6652277858944","66.6334725986714","66.9003178334892","66.2726634171934","69.1809721709656","72.0728608388597","72.736023673147","73.3959540550781","73.7930481260843","70.1725628388934","70.4770761184034","66.7103875594823","64.3155771593729","71.8927591559524","65.5205864272438","62.8835645832405","67.4888818013271","62.1474208451196","64.113786345696","65.9463812391604","66.5257775487766","74.4762818960772","59.7677413507257","53.1721029557628","77.1116794413931","63.7094477546893","",
"Azerbaijan","AZE","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2305516683247","16.2733064593325","3.98429593576616","-1.72215288885763","1.88658537569498","-15.1619147733811","-21.1340656660604","-23.1427239416","-33.571435829176","-72.3234654010538","-65.8626208552949","-68.8580860014022","-71.8885831391409","-61.7063484269366","-55.1787255183956","-93.9516932270916","-182.88922536622","-323.147547736931","-326.673374876152","-425.320752038097","-457.069329810487","-377.980203781313","-326.999644782159","-326.528065401554","-312.699728361221","-311.372702565001","-307.157437510433","-278.235862973283","-286.420238991512","-272.931635186379","-273.079159360391","-285.377823945585","-261.802095083727","","",
"Burundi","BDI","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0367964439513","84.7649932112065","85.7616164169231","84.5365201682005","87.1208420163118","88.0869389213642","88.3228528387101","86.8878075746824","90.1731135660812","85.0699615954258","87.2199602723335","89.7609233715587","88.5769003632831","91.4404517841402","91.7686025297236","91.8732672616677","92.466113707913","91.1428349762183","95.9508772708718","86.6028394359531","89.2262242348506","86.6358610199617","86.2151952055023","87.2250229637982","89.6077819029329","95.1795034937227","86.1517658972008","86.8686964627013","99.6080802390451","90.8459474995209","88.9392947183417","81.3617523482159","86.7437322290258","89.6534402275762","",
"Benin","BEN","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.53702851885925","-5.97904573127567","-2.14444613322647","-2.74050274050277","-1.21029543893029","0.95287348891334","11.5008383020774","16.2605280337325","16.9572434443926","23.2831691818078","28.0977102178966","29.8724686268292","31.9551055315645","34.4706070799294","35.0894184206743","35.8470373520107","39.1079006187038","41.8017950914304","42.2565178740584","44.7166102966197","49.3056672564474","","","","","","","","","46.0416412011571","46.6336217616136","42.7567593162556","40.9031703802238","","",
"Burkina Faso","BFA","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9252782610812","14.5675104082149","14.0982820989522","13.9538781603793","15.2850426526658","","","","","","17.6509148650554","21.1038949568699","19.7062195987588","19.9285740363967","17.7920645309499","17.9095538204646","16.1103486776302","15.8299464466906","15.4943288262154","14.7404722275885","14.4544547917684","17.4646380499939","18.3559167186151","17.9640543283116","19.6289634401405","20.4002085391355","21.6719159236748","23.889970217061","24.5741159464946","30.2974940894337","34.4620400337636","39.5900689972266","44.3070258449266","","",
"Bulgaria","BGR","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1361896367452","64.527991107195","58.0022563609057","60.3402271811458","56.8226701146043","58.7750712625212","57.4379795609262","51.715600265138","50.5319818162397","48.7127225497519","46.8649530070362","46.6754332560199","47.4211786188032","47.4286426431466","49.0600986271616","48.0800794747752","46.8648591333487","51.98949515202","53.0049788983809","46.382604875906","40.8526500117372","37.2374823379259","37.3579601331171","39.0579554023486","35.7227464947575","37.1357262785313","39.3333599138788","40.2625252638165","37.3692429901366","39.3267472214842","38.9225662021478","36.9007848661703","37.9748347981295","","",
"Bahrain","BHR","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-154.670041631388","-156.123897191314","-143.145759387071","-143.381176516165","-125.459807097334","-129.200651924288","-126.632476786871","-118.842614359315","-114.743773170785","-106.179254660284","-97.8255856381815","-97.3832095945173","-94.1956079035712","-88.2314317006482","-80.5343609637639","-60.6273168717627","-60.1153040957645","-53.5280275603182","-45.866587510058","-54.7283369953977","-53.4070568018658","-58.3146936157164","-56.7750937265929","-54.383115780032","-65.7183801660502","-57.3617376243512","-57.2901895719304","-56.809980288761","-53.6005426856606","-53.4306266212537","-51.9013900994723","-50.2263325786432","-45.4751316679306","","",
"Bahamas, The","BHS","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9002677072462","18.4979787296866","16.4354342937049","49.7495131734433","47.8755714696763","38.6779800191598","21.8457747165563","24.3004985485747","22.353237954521","29.0208771823771","27.5909719023492","24.6964440589766","21.053003073114","25.5479237749006","27.4686633651637","26.3576755818932","30.6474418437097","29.0363420018349","30.5773027958542","31.1960819719857","33.9948257189844","33.2945027300534","29.7224082866732","28.2127054550378","33.7088994867392","31.5599865655548","34.076435377041","24.2811144045711","27.3940966075843","25.3934465921472","27.1805859913968","26.3680612308532","","",
