"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0707227250509","50.4935534597248","47.9665066837686","49.2806847139485","48.8116182999389","49.4445246044049","48.6564667405138","48.6084397597282","47.7334775082204","47.9284716695163","46.9472517429038","47.4357459507557","46.1952181233608","47.2717785407109","48.8620583293628","48.6069666946122","48.2443932141172","49.5511715569521","50.8885624008154","49.8828729702859","49.0353285938329","48.303862388358","47.5724129880436","46.8951802323023","49.304292087898","","","","","","","","","","",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7361513515077","21.5944825909439","22.4663308846145","21.9756782372025","18.6330932494615","18.597598055597","20.0282537879083","20.4124333530196","19.515881329111","20.4992516268561","20.8568629413287","21.9965404800643","22.2330951819879","23.285903357397","22.5779787475038","22.6761490939365","21.3347518801466","20.6740770300019","21.4087821151267","19.9887736072996","21.9468785991727","22.6105061264302","23.053942417727","23.0816348889008","23.4712780253622","","","","","","","","","","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.48","25.48","24.1","24.96","24.44","22.93","23.78","24.27","22.62","25.42","26.15","27.9","29.71","33.99","33.33","27.83","33.94","38.73","42.59","47.31","46.18","46.96","51.53","51.27","45.16","53.4","48.27","47.83","40.55","43.2","40.6","45.48","47.02","","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6","69.82","56.07","53.47","54.85","49.54","45.45","41.45","45.31","58.3","58.78","61.02","63.29","64.59","65.64","66.56","64.51","65.18","63.93","63.51","63.34","61.6","57.88","56.53","61.53","60.19","58.07","62.12","60.11","59.41","57.07","56.22","55.06","","",
"Andorra","AND","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8556246349879","92.7423873376224","94.1493937612998","94.4699617806532","94.1589892635229","94.8709663546966","94.8639232975763","95.0069238303613","94.8558582530761","94.6478484479947","94.9938252828701","95.1990238360381","94.7807673193623","95.1920229910336","95.1913212103822","95.1701452703744","95.4492766145807","96.1258438420961","96.466731106061","96.215986540937","95.8911188066165","94.9643872535256","95.0193294858905","96.2270958486696","95.4783427936612","","","","","","","","","","",
"United Arab Emirates","ARE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","99.86","99.89","99.91","99.91","99.94","99.94","99.95","99.95","99.95","99.96","99.96","99.96","99.94","99.94","99.94","99.93","99.93","99.93","99.92","99.92","99.93","99.91","99.86","99.87","99.82","99.82","99.77","99.53","98.7","96.07","92.72","","",
"Argentina","ARG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.64","87.97","87.63","86.64","86.79","86.94","87.72","86.8","87.52","89.13","88.7","86.09","86.28","86.57","88.61","88.13","88.44","89.44","89.93","88.13","88.53","88.88","89.52","89.08","89.05","88.73","88.42","88.18","87.73","86.82","86.38","87.4","86.96","","",
"Armenia","ARM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.04","96.52","92.72","82.07","76.97","84.26","57.66","70.64","72.13","65.26","70.06","71.18","61.81","65.72","66.91","68.11","67.5","70.56","73.29","68.21","67.41","71.56","77.34","75.51","72.6","68.89","69.08","68.99","74.31","73.7","74.13","78.22","75.78","","",
"American Samoa","ASM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Australia","AUS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.89","93.68","94.34","93.78","93.91","93.82","93.66","93.51","93.88","93.93","93.96","93.74","93.54","93.88","94.07","94.22","94.28","94.28","94.34","95.53","94.66","94.49","94.44","93.93","93.68","93.61","93.36","93.14","93.06","92.92","92.55","91.53","90.42","90.19","",
"Austria","AUT","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.13","79.13","77.24","77.01","77.59","77.99","78.2","78.42","78.52","76.61","76.54","76.9","77.36","78.49","77.82","77.03","74.52","72.38","71.79","69.81","70.15","68.84","66.58","66.1","64.82","65.48","65.65","66.46","66.24","67.22","65.35","64.9","64.1","62.06","",
